name,length,number of words
Breaking the Waves,16,3
The Man with Two Brains,19,5
Birdman or (The Unexpected Virtue of Ignorance),41,7
Beverly Hills Cop,15,3
The Ring,7,2
Kids,4,1
Hearts of Darkness: A Filmmaker's Apocalypse,39,6
Roger Dodger,11,2
Hard Candy,9,2
Sicko,5,1
Lenny,5,1
Persepolis,10,1
The Others,9,2
Bill & Ted's Excellent Adventure,28,5
Zoolander,9,1
Rescue Dawn,10,2
Rear Window,10,2
Being There,10,2
Fear and Loathing in Las Vegas,25,6
John Wick,8,2
Rope,4,1
Enter the Dragon,14,3
Wayne's World,12,2
This Is Spinal Tap,15,4
Old School,9,2
Top Five,7,2
All About Eve,11,3
Scum,4,1
Blackfish,9,1
The Martian,10,2
The Cove,7,2
Dope,4,1
Steve Jobs,9,2
First Blood,10,2
A Nightmare on Elm Street,21,5
You Only Live Twice,16,4
Bronson,7,1
Project Nim,10,2
Three Days of the Condor,20,5
Cape Fear,8,2
Glory,5,1
Pink Flamingos,13,2
Eraserhead,10,1
Tucker and Dale vs Evil,19,5
The Man Who Wasn't There,20,5
Django,6,1
Singin' in the Rain,16,4
Auto Focus,9,2
The Iron Giant,12,3
Mononoke-hime,13,1
Mission: Impossible - Rogue Nation,30,5
Double Indemnity,15,2
Aladdin,7,1
It Follows,9,2
Furious Seven,12,2
King Kong,8,2
Spring,6,1
Sicario,7,1
Awakenings,10,1
Young Adult,10,2
Blowup,6,1
The Long Goodbye,14,3
Spartacus,9,1
Ronin,5,1
Mad Max,6,2
Touch of Evil,11,3
Nymphomaniac: Vol. I,18,3
Ong-bak,7,1
Manhattan Melodrama,18,2
Boyhood,7,1
Terms of Endearment,17,3
The Master,9,2
How to Train Your Dragon 2,21,6
What We Do in the Shadows,20,6
Roger & Me,8,3
Role Models,10,2
Wayne's World 2,13,3
The Warriors,11,2
The Castle,9,2
Home Alone 2: Lost in New York,24,7
Final Destination 2,17,3
Mean Streets,11,2
The Full Monty,12,3
Fast Times at Ridgemont High,24,5
Black Dynamite,13,2
Everything Is Illuminated,23,3
No Way Out,8,3
The Darjeeling Limited,20,3
Star Trek Into Darkness,20,4
State of Grace,12,3
The Hunger Games: Catching Fire,27,5
Miracle on 34th Street,19,4
Big Fish,7,2
Analyze This,11,2
Ben-Hur,7,1
Top Secret!,10,2
Fast Five,8,2
An Officer and a Gentleman,22,5
Mystic River,11,2
Shut Up and Play the Hits,20,6
Bobby Fischer Against the World,27,5
Rocky II,7,2
Time Bandits,11,2
Jungle Fever,11,2
Down Terrace,11,2
"Play It Again, Sam",15,4
Bill & Ted's Bogus Journey,22,5
Napoleon Dynamite,16,2
We Need to Talk About Kevin,22,6
August: Osage County,18,3
The Wedding Singer,16,3
The Naked Gun 2½: The Smell of Fear,28,8
Midnight in Paris,15,3
Philadelphia,12,1
Beowulf,7,1
Deep Cover,9,2
Runaway Jury,11,2
Save the Tiger,12,3
Mississippi Burning,18,2
Goon,4,1
Final Destination,16,2
Fletch,6,1
The Lion King,11,3
Sleeper,7,1
Shichinin no samurai,18,3
Amy,3,1
"Crazy, Stupid, Love.",18,3
The Lobster,10,2
Commando,8,1
Ted,3,1
The 40 Year Old Virgin,18,5
Mary Poppins,11,2
The Sound of Music,15,4
Arrival,7,1
Manchester by the Sea,18,4
Blade Runner 2049,15,3
Baby Driver,10,2
Thor: Ragnarok,13,2
Detroit,7,1
Guardians of the Galaxy Vol. 2,25,6
The Ballad of Buster Scruggs,24,5
The Post,7,2
Hellboy II: The Golden Army,23,5
Dear Zachary: A Letter to a Son About His Father,39,10
The Edge of Seventeen,18,4
13th,4,1
Molly's Game,11,2
Free Fire,8,2
Deadpool 2,9,2
A Star Is Born,11,4
Blade II,7,2
Falling Down,11,2
Eyes Wide Shut,12,3
The Lost Boys,11,3
